,State,Year
0,Alabama,2006
1,Alaska,2011
2,Arizona,2008
3,Arkansas,2013
4,California,2007
5,Colorado,2007
6,Connecticut,2008
7,Delaware,2012
8,Florida,2011
9,Georgia,2013
10,Hawaii,1992
11,Idaho,2004
12,Illinois,2000
13,Indiana,1998
14,Iowa,2009
15,Kansas,2011
16,Kentucky,1999
17,Louisiana,2008
18,Maine,2004
19,Maryland,2013
20,Massachusetts,1994
21,Michigan,2003
22,Minnesota,2010
23,Mississippi,2008
24,Montana,2012
25,Nebraska,2011
26,Nevada,1997
27,New Hampshire,2014
28,New Jersey,2011
29,New Mexico,2005
30,New York,1999
31,North Carolina,2007
32,North Dakota,2007
33,Ohio,2006
34,Oklahoma,1991
35,Oregon,2011
36,Rhode Island,2006
37,South Carolina,2008
38,South Dakota,2011
39,Tennessee,2006
40,Texas,2001
41,Utah,1996
42,Vermont,2009
43,Virginia,2003
44,Washington,2011
45,West Virginia,2002
46,Wisconsin,2013
47,Wyoming,2004
